title,description,topics
esiology acceptances 2018,What was your average you got accepted with for kinesiology at western ?,"University of Western Ontario,Health and Wellness - Kinesiology"
Ryerson Chemical Engineering co op placement,"So I'm a chemical engineering student at Ryerson and I want to pursue a career in petroleum engineering post graduation. I was just wondering if anyone has information on how easy it is to get co op at a petroleum engineering firm if you're a Ryerson chemical engineering student looking for co op. Any info will help, thanks!","Business - Co-operatives Studies,Ryerson University,Engineering - Petroleum,Petroleum and Oil,Chemical Engineering"
Health Science 2019,University health science applicants of 2019:,"Trent University,University of Guelph,University of Ottawa,Biological and Biomedical Sciences - Biology,University of Ontario Institute of Technology,Brock University,Wilfrid Laurier University,University of Western Ontario,Carleton University,Ryerson University"
First Year iBioMed | Ask Me Anything!,"Hey guys, I'm a current first year iBioMed student and just like you I wasted a lot of time last year on yconic :') but it really helped me make a decision  to choose the right program! So, if you have any questions about first year iBioMed (the program at McMaster), more specifically about things like:","Medical Sciences,McMaster University"
Has anybody taken Pre cal 12 online before (BC),I’m currently enrolled with ebus academy and had a question on how difficult the unit tests are. Are they generally similar to the practice tests or are they harder? Also how many questions are they usually out of?,Mathematics
Does uwaterloo care about this???,"Currently in grade 12, taking 3 courses in both semesters, including advanced functions online this semester(1st semsester spots were full, i know Waterloo math faculty admissions hates this). My mark dipped below 93 after the first test (somehow) and i think i would be better off taking it along with my other 3 courses next semester to do better. This is because computer science admission average is around 96% and I need 97%+ in adv functions to maintain average.",University of Waterloo
Carleton or UOttawa Political Science?,I’m a grade 12 student and currently considering applying to Carleton for political science or public policy and policy management. For UOttawa I’m considering political science only.,"University of Ottawa,Carleton University"
Chance of Getting into Commerce Programs,Expected Average,"Queen's University,University of Western Ontario,Business - Commerce"
1st YEAR MAC LIFE SCI STUDENT - ASK ME QUESTIONS,hey guys! im a first year mac life sci student. I remember using this website a ton in my grade 12 year and I thought it would be cool to make a thread for you guys to ask any questions you have about this program!!! ask away and ill be more than happy to answer :),"University of Guelph,University of Toronto,University of Waterloo,Wilfrid Laurier University,University of Western Ontario,McMaster University"
Pre-med,What are some of the best health/life sci programs that can lead to med school?,"Queen's University,Western University of Health Sciences,Medical Sciences,McMaster University,University of Waterloo"
Can I make it in?,"Hi, I was hoping any of you could tell me the chances of me getting accepted to a university such as Waterloo, Western, or Queen's for a B.Sc program in psychology.","Queen's University,Ottawa University,University of Western Ontario,University of Waterloo,Carleton University"
Rotman Commerce vs. Queens Com,"hi everyone! i had a few questions regarding the business programs. I'm currently a 1st year business student and was gonna go to Rotman 1st year but ended up not going. My goal was always ""Rotman Rotman Rotman"" thought the name was gonna do it for me but im going to transfer my 2nd year im just now realizing how rotman has horrible networking and leaves their students hang out to dry. My ulitmate goal is to end up on Wall Street soooo im really considering Queens since their network program in NY is great! but i love downtown toronto so im kind of stuck","University of Toronto - Trinity College,University of Toronto"
